m_0,30.11,[g]
d,9,[mm]
L,12.2,[mm]
i_b,2.521,[A]
50,[mm]
n,1
i_a[A],m[g]
0.33,30.47
0.59,30.56
0.92,30.81
1.21,31.17
1.48,31.37
1.80,31.52
2.15,31.83
