m_0,25.53,[g]
d,9,[mm]
L,12.2,[mm]
i_b,2.513,[A]
12,[mm]
n,1
i_a[A],m[g]
0.31,24.61
0.60,24.81
0.90,24.91
1.24,24.96
1.50,25.01
1.81,25.06
2.14,25.28

