m_0,25.53,[g]
d,9,[mm]
L,12.2,[mm]
i_a,1.00,[A]
g,12,[mm]
n,1
i_b[A],m[g]
0.366,25.26
0.563,25.63
0.847,25.73
1.137,25.78
1.326,25.81
1.677,25.88
1.884,25.89
2.116,25.95
2.339,25.99
2.576,26.04
2.792,26.06
3.088,26.13
3.487,26.22
03.93,26.27
04.31,26.33
04.72,26.39

